4
0 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
360 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
720 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
1080 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
1440 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
1800 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
2160 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
2520 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
2880 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
3240 0.00000000e+00 1.38889000e-05 0.00000000e+00 1.38889000e-06
